Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0dFdGPVLs3k0z9ezYWZzUa,"Intimidated (feat. H.E.R.)","Intimidated","KAYTRANADA;H.E.R.",2021-11-19,207830,74,false,,2026-01-03T23:09:58Z,"r&b","KAYTRANADA/RCA Records",0.738,0.75,11,-3.654,0,0.219,0.0167,0.00976,0.174,0.342,112.009,4
spotify:track:6kmXHLDDK7RQXTjHooTCzH,"Iced Tea","Iced Tea","Joyce Wrice;KAYTRANADA",2022-03-16,205384,45,true,,2026-01-02T23:32:05Z,"alternative r&b","Joyce Wrice Music",0.731,0.622,11,-7.704,1,0.0823,0.0662,0.000153,0.0558,0.501,103.949,4
spotify:track:2QD4C6RRHgRNRAyrfnoeAo,"Play Hard (feat. Ne-Yo & Akon)","Nothing but the Beat 2.0","David Guetta;Ne-Yo;Akon",2011-08-24,201000,68,false,,2026-01-01T14:04:00Z,"edm","Parlophone (France)",0.691,0.921,8,-1.702,0,0.0535,0.174,0,0.331,0.802,130.072,4
spotify:track:0W4NhJhcqKCqEP2GIpDCDq,"Love","The Way It Is","Keyshia Cole",2005-01-01,255333,83,false,,2025-12-31T23:21:44Z,"r&b","A&M (UC)",0.688,0.518,5,-4.285,1,0.0283,0.0642,0,0.1,0.314,116.714,4
spotify:track:7CNRVEMSXo0fRJwZyM0L2n,"Hometown Girl","GENERATIONWHY","ZHU",2016-07-29,252235,48,false,,2025-12-24T07:42:28Z,"edm","Columbia",0.514,0.582,6,-8.835,1,0.101,0.0209,0.0835,0.0937,0.621,99.996,4
spotify:track:0myRViRgmQ3J8izICXEAVO,"I Thought I Saw Your Face Today","Volume One","She & Him",2008-03-18,170333,92,false,,2025-12-22T05:08:42Z,"christmas","Merge Records",0.359,0.551,7,-7.631,1,0.0327,0.33,0.000837,0.298,0.526,158.355,4
spotify:track:6SWVr6T3yQS6gZ9gQHrr2b,"Sex, Drugs, Etc. - Sped Up Version","Sex, Drugs, Etc. (Sped Up Version)","Beach Weather",2022-12-16,176974,62,false,,2025-12-05T11:38:27Z,"","8123 / Arista Records",0.552,0.875,6,-4.782,0,0.0376,0.0123,0.00554,0.144,0.585,79.959,4
spotify:track:5tf1VVWniHgryyumXyJM7w,"Sugar (feat. Francesco Yates)","Sugar","Robin Schulz;Francesco Yates",2015-09-25,219043,79,false,,2025-12-01T06:18:02Z,"tropical house","Tonspiel",0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,4
spotify:track:6wOYnPq1hPihRepcDClPUw,"Meet Me Halfway","THE E.N.D. (THE ENERGY NEVER DIES)","Black Eyed Peas",2009-01-01,284373,78,false,,2025-12-01T06:16:47Z,"","Interscope",0.798,0.629,11,-6.857,0,0.0735,0.00474,0.0000229,0.324,0.4,130.002,4
spotify:track:0GYjlsMiLhspkDFB6y7HDU,"Wave of You","Pacifico","Surfaces",2021-06-25,213842,58,false,,2025-11-30T00:35:44Z,"","Surfaces Music / 10K Projects",0.695,0.656,1,-6.038,1,0.0489,0.057,0,0.267,0.346,90.986,4
spotify:track:4qu63nuBpdn0qHUHuObEj1,"Leave Before You Love Me (with Jonas Brothers)","Leave Before You Love Me","Marshmello;Jonas Brothers",2021-05-21,154983,81,false,,2025-11-29T00:12:51Z,"edm","Republic Records",0.721,0.738,7,-4.77,1,0.0403,0.00226,0.00000441,0.118,0.637,119.976,4
spotify:track:44CZRkOxv7UItaAUmh8PgN,"Doses & Mimosas","Year of the Caprese","Cherub",2014,323253,70,true,,2025-11-25T10:48:25Z,"","Columbia",0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,4
spotify:track:0L5gFNrzHyh4OhMwEz6DGS,"Fool's Gold","FOUR (Deluxe)","One Direction",2014-11-17,210893,64,false,,2025-11-25T06:41:03Z,"","Syco Music",0.515,0.773,6,-4.848,1,0.0479,0.23,0.00000129,0.0938,0.379,128.001,4
spotify:track:2oENJa1T33GJ0w8dC167G4,"Fire Burning","Tomorrow","Sean Kingston",2009-09-07,239986,75,false,,2025-11-25T03:36:32Z,"","Epic/Beluga Heights",0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,4
spotify:track:1s9Wu1vRfIr3JuO5BZOthT,"Caroline","Same Train // Different Station","Sub-Radio",2016-03-11,166413,34,false,,2025-11-25T03:02:58Z,"","Sub-Radio",0.618,0.649,0,-6.575,1,0.059,0.187,0,0.306,0.633,143.06,4
spotify:track:0uoeX1CeqInQUpjjtH1n2Q,"Lonely in the Jungle","To Dry a Tear","Khamari",2025-08-22,205289,61,false,,2025-11-22T01:32:04Z,"indie r&b","Encore Recordings",0.674,0.499,5,-9.804,0,0.0284,0.117,0.0024,0.11,0.156,95.002,4
spotify:track:4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,81,false,,2025-11-22T01:21:47Z,"soft pop","Columbia",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
spotify:track:1PxKsGzQcmiwDHvA9ig5gv,"Witchy (feat. Childish Gambino)","TIMELESS","KAYTRANADA;Childish Gambino",2024-06-07,227000,66,true,,2025-11-21T06:17:04Z,"","KAYTRANADA/RCA Records",0.592,0.619,5,-8.183,1,0.137,0.00125,0.000918,0.119,0.319,109.924,4
spotify:track:6OklSp2KgnW8RWNdQ7n8o1,"Sick","Sunburn","Dominic Fike",2023-07-07,141011,56,false,,2025-11-19T09:31:48Z,"","Columbia",0.593,0.591,2,-8.43,1,0.0458,0.295,0.00918,0.289,0.482,98.976,4
spotify:track:2LTFSIFfYR9tjPdzX4if0Z,"Backseat","Scenic Drive (The Tape)","Khalid",2021-12-03,174946,48,true,,2025-11-19T06:39:42Z,"","Right Hand Music Group, LLC/RCA Records",0.732,0.576,9,-7.454,0,0.0392,0.0223,0.0062,0.175,0.302,134.045,4
spotify:track:2Y8BloifAHEn6GproQgPs7,"Silver Springs - 2004 Remaster","Rumours (Deluxe Edition)","Fleetwood Mac",1977-02-04,288786,68,false,,2025-11-18T07:24:25Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.348,0.576,0,-8.388,1,0.0289,0.00766,0.0462,0.276,0.428,179.014,4
spotify:track:5H0ajL4EHsrcAEGESo2Lzx,"Love Somebody","Overexposed Track By Track","Maroon 5",2012-01-01,229973,67,false,,2025-11-14T10:03:29Z,"pop","Interscope Records*",0.675,0.783,1,-6.284,1,0.0365,0.134,0,0.122,0.4,120.018,4
spotify:track:4YwbSZaYeYja8Umyt222Qf,"You Can't Hurry Love - 2016 Remaster","Hello, I Must Be Going! (Deluxe Edition)","Phil Collins",1982-11-05,175746,76,false,,2025-11-13T23:42:28Z,"soft rock","Rhino",0.62,0.936,7,-4.593,1,0.0308,0.0261,0,0.0679,0.763,97.527,4
spotify:track:1KhrAWvLIjRlQIJtSTgvsi,"Would You Go With Me","Your Man","Josh Turner",2006,228186,70,false,,2025-11-12T23:50:54Z,"country,country christian","MCA Nashville",0.605,0.864,6,-5.365,1,0.0292,0.13,0.000803,0.113,0.736,122.919,4
spotify:track:2AT8iROs4FQueDv2c8q2KE,"R U Mine?","AM","Arctic Monkeys",2013-09-09,201726,81,false,,2025-11-09T11:41:15Z,"indie,garage rock","Domino Recording Co",0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,4
spotify:track:4atMrAadB7dS8xn9vfk9PQ,"Fireside","AM","Arctic Monkeys",2013-09-09,181049,68,false,,2025-11-08T00:00:10Z,"indie,garage rock","Domino Recording Co",0.538,0.953,9,-5.611,0,0.056,0.0234,0.00126,0.113,0.74,100.033,4
spotify:track:0Dxnd3CLbdn1exAeVTPjyA,"Parachute - Alternate Version","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,203533,22,false,,2025-11-05T07:59:27Z,"soft pop","Columbia",0.342,0.645,3,-4.334,1,0.0389,0.0122,0,0.108,0.17,76.641,4
spotify:track:3SdTKo2uVsxFblQjpScoHy,"Stand By Me","Don't Play That Song (Mono)","Ben E. King",1962-08-20,180055,79,false,,2025-11-03T21:36:00Z,"","Rhino Atlantic",0.65,0.306,9,-9.443,1,0.0393,0.57,0.00000707,0.0707,0.605,118.068,4
spotify:track:4PklAHGXT5ityno3IA8SKd,"Go Stupid","THE GOAT","Polo G;Stunna 4 Vegas;NLE Choppa;Mike WiLL Made-It",2020-05-15,165726,72,true,,2025-11-01T11:38:23Z,"","Columbia",0.92,0.833,1,-3.18,1,0.253,0.0277,0,0.0596,0.645,141.034,4
spotify:track:2pJP5MYThS3HtuTYx085Ab,"Half Moon Bay","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,235333,27,false,,2025-10-27T23:36:59Z,"soft pop","Columbia",0.511,0.82,3,-4.399,1,0.064,0.00284,0,0.102,0.552,171.802,4
spotify:track:58AwxWLaRHn2lTqqH9dLkU,"The Reason","Best Of","Hoobastank",2010-01-01,232706,66,false,,2025-10-27T10:50:38Z,"nu metal","Island Def Jam",0.464,0.644,4,-5.677,1,0.0287,0.0129,0,0.136,0.0651,82.858,4
spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,"Moonlit Floor (Kiss Me)","Moonlit Floor (Kiss Me)","LISA",2024-10-03,155757,70,false,,2025-10-24T20:27:06Z,"k-pop","Lloud Co./RCA Records",0.733,0.786,5,-3.951,0,0.112,0.128,0,0.31,0.672,109.954,4
spotify:track:7eWGnKg4B44sbBPpQp4y2c,"Dragonball Durag","It Is What It Is","Thundercat",2020-04-03,181922,62,false,,2025-10-24T05:11:06Z,"","Brainfeeder",0.648,0.59,2,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,4
spotify:track:7boZbYtecOzGLzqd1abzIs,"Sing It Back - Boris Musical Mix - Edit","Catalogue","Moloko;Boris Dlugosch;Michael Lange",2006-07-17,278000,45,false,,2025-10-24T05:10:37Z,"trip hop,disco house,funky house,nu disco,uk funky","Echo",0.761,0.775,3,-7.495,0,0.0339,0.00698,0.000543,0.0512,0.966,123.017,4
spotify:track:0YMe6PHRbeDcN7KJdCG0bW,"The Dress","Absolutely","Dijon",2021-11-05,184767,78,false,,2025-10-24T05:06:50Z,"","R&R Digital/Warner Records",0.747,0.531,8,-5.99,1,0.0477,0.266,0.0000018,0.192,0.785,88.009,4
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,89,false,,2025-10-23T00:06:35Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:2fyIS6GXMgUcSv4oejx63f,"Mardy Bum","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,175440,72,false,,2025-10-22T20:46:38Z,"indie,garage rock","Domino Recording Co",0.634,0.599,2,-5.447,1,0.0365,0.0288,0,0.197,0.312,112.215,4
spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,"Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,83,false,,2025-10-22T18:52:23Z,"soft pop","Columbia/Legacy",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,"Iris","Dizzy up the Girl","The Goo Goo Dolls",1998,289533,92,false,,2025-10-22T18:51:12Z,"","Warner Records",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
spotify:track:19fKJrO9XdOf6Xla2QHecO,"Run Your Mouth","Submarine","The Marías",2024-05-31,160000,72,false,,2025-10-22T18:44:14Z,"bedroom pop","Nice Life/Atlantic",0.781,0.649,7,-6.866,1,0.0363,0.249,0.0349,0.229,0.916,111.005,4
spotify:track:44KoRGlMzFX6eOcoA1sLn3,"Reality","Ready for Love (Claude Pinoteau's Original Motion Picture Soundtrack)","Vladimir Cosma;Richard Sanderson",1980,289733,27,false,,2025-10-22T17:25:45Z,"","Larghetto",0.306,0.429,7,-9.464,1,0.0269,0.304,0.00000189,0.149,0.174,152.829,4
spotify:track:1pTGc8pwyo6xtgXBKCBcFn,"Woman in Love","Guilty","Barbra Streisand",1980-09-23,233400,68,false,,2025-10-22T17:22:13Z,"adult standards","Columbia",0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,4
spotify:track:1lsBTdE6MGsKeZCD6llNu7,"Done for Me (feat. Kehlani)","Voicenotes","Charlie Puth;Kehlani",2018-05-11,180493,70,false,,2025-10-21T03:16:24Z,"soft pop","Artist Partner",0.856,0.632,6,-3.692,0,0.074,0.193,0,0.0688,0.697,112.009,4
spotify:track:2MWOqewf5j0qf2b6S5J6cS,"Marry Me","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,205453,62,false,,2025-10-07T10:19:45Z,"soft pop","Columbia",0.461,0.267,0,-8.514,1,0.0278,0.834,0.0000203,0.107,0.481,87.918,4
spotify:track:2NniAhAtkRACaMeYt48xlD,"50 Ways to Say Goodbye","California 37","Train",2012-04-17,247946,71,false,,2025-10-07T10:17:15Z,"soft pop","Columbia",0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,4
spotify:track:0edtKj1oW6rJ9f4wRtLPPH,"Traingazing","Breathe","Sam Wills;Honey Mooncie",2021-06-04,214159,0,false,,2025-10-03T21:48:07Z,"","eOne Music UK",0.848,0.364,11,-10.058,1,0.0637,0.697,0.00529,0.14,0.569,137.541,4
spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y,"Club Can't Handle Me (feat. David Guetta)","Only One Flo (Part 1)","Flo Rida;David Guetta",2010-11-24,234560,82,false,,2025-10-03T01:44:32Z,"edm","Poe Boy/Atlantic",0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,4
spotify:track:45sDIKapDyxPl307QpEAwl,"Rocketeer","Free Wired","Far East Movement;Ryan Tedder;Ruff Loaderz",2010-01-01,211253,72,false,,2025-10-02T10:56:50Z,"","Interscope",0.664,0.845,4,-6.115,0,0.0462,0.181,0,0.267,0.357,96.005,4
spotify:track:6BFnRhvKCclDQOajt8dBGi,"Diet Mountain Dew","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,222920,70,false,,2025-09-29T08:09:05Z,"","Urban",0.442,0.68,10,-5.971,0,0.0858,0.284,0,0.421,0.601,176.09,4
spotify:track:0qt5f5EL92o8Snzopsv0en,"Geronimo","Bombs Away","Sheppard",2015-01-12,218227,72,false,,2025-09-23T09:16:41Z,"","Decca (UMO)",0.706,0.78,7,-6.267,1,0.0795,0.451,0.00141,0.115,0.451,142.029,4
spotify:track:3oEkrIfXfSh9zGnE7eBzSV,"The Winner Takes It All","Super Trouper","ABBA",1980,294720,86,false,,2025-09-23T09:00:52Z,"","Polar Music International AB",0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,4
spotify:track:3UGIZ8qcrMTwzLbx6Kttqt,"Boyfriend","Believe","Justin Bieber",2012-01-01,171333,77,false,,2025-09-23T08:34:33Z,"","RBMG/Def Jam",0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,4
spotify:track:0KAiuUOrLTIkzkpfpn9jb9,"Drive By","California 37","Train",2012-04-17,195973,77,false,,2025-09-23T08:31:49Z,"soft pop","Columbia",0.765,0.837,1,-3.113,0,0.032,0.00107,0.0000106,0.0801,0.721,122.028,4
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,84,true,,2025-09-23T08:24:44Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
spotify:track:003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,90,false,,2025-09-23T08:13:39Z,"alternative rock","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
spotify:track:4dTaAiV9xFFCxnPur9c9yL,"Memories (feat. Kid Cudi)","One Love (Deluxe)","David Guetta;Kid Cudi",2009-08-21,210093,62,false,,2025-09-20T09:10:54Z,"edm","Parlophone (France)",0.561,0.87,8,-6.103,1,0.343,0.0015,0.00000282,0.246,0.498,129.98,4
spotify:track:1lHXlGlve5Zx8tXLhyjDwM,"Makes Me Wonder","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,211080,64,true,,2025-09-18T10:34:57Z,"pop","Interscope Records*",0.803,0.852,7,-2.429,1,0.0357,0.00484,0.000331,0.0576,0.878,113.998,4
